iter	Passed	Remaining
1268	20766	11962
1269	20781	11945
1270	20797	11928
1271	20813	11911
1272	20828	11894
1273	20845	11879
1274	20860	11862
1275	20878	11846
1276	20896	11830
1277	20911	11813
1278	20927	11797
1279	20945	11781
1280	20960	11764
1281	20975	11747
1282	20992	11731
1283	21010	11716
1284	21025	11699
1285	21039	11681
1286	21053	11663
1287	21068	11646
1288	21083	11629
1289	21100	11613
1290	21118	11598
1291	21132	11580
1292	21149	11564
1293	21162	11546
1294	21180	11530
1295	21197	11514
1296	21213	11498
1297	21228	11481
1298	21243	11463
1299	21258	11446
1300	21276	11431
1301	21291	11414
1302	21308	11398
1303	21322	11380
1304	21342	11366
1305	21358	11349
1306	21374	11333
1307	21389	11316
1308	21409	11301
1309	21423	11283
1310	21438	11267
1311	21455	11251
1312	21471	11234
1313	21485	11217
1314	21500	11199
1315	21514	11182
1316	21527	11164
1317	21542	11147
1318	21559	11131
1319	21578	11116
1320	21592	11098
1321	21608	11082
1322	21624	11065
1323	21638	11048
1324	21654	11031
1325	21670	11014
1326	21683	10996
1327	21701	10981
1328	21718	10965
1329	21733	10948
1330	21749	10932
1331	21764	10915
1332	21782	10899
1333	21797	10882
1334	21813	10866
1335	21830	10849
1336	21848	10834
1337	21864	10818
1338	21879	10801
1339	21897	10785
1340	21915	10769
1341	21931	10753
1342	21949	10737
1343	21964	10720
1344	21983	10705
1345	21997	10688
1346	22013	10671
1347	22029	10655
1348	22044	10638
1349	22059	10621
1350	22076	10605
1351	22093	10589
1352	22108	10572
1353	22125	10556
1354	22143	10540
1355	22159	10524
1356	22175	10507
1357	22191	10491
1358	22206	10473
1359	22224	10458
1360	22240	10442
1361	22280	10436
1362	22305	10424
1363	22322	10408
1364	22339	10392
1365	22356	10376
1366	22372	10359
1367	22389	10343
1368	22405	10327
1369	22423	10311
1370	22438	10294
1371	22455	10278
1372	22472	10262
1373	22488	10245
1374	22503	10228
1375	22518	10212
1376	22535	10195
1377	22552	10179
1378	22569	10163
1379	22585	10147
1380	22609	10134
1381	22625	10117
1382	22639	10100
1383	22653	10082
1384	22666	10064
1385	22685	10049
1386	22698	10032
1387	22714	10015
1388	22728	9997
1389	22743	9981
1390	22758	9964
1391	22773	9946
1392	22785	9928
1393	22799	9911
1394	22817	9895
1395	22835	9879
1396	22851	9863
1397	22865	9846
1398	22879	9829
1399	22893	9811
1400	22911	9795
1401	22927	9779
1402	22941	9761
1403	22954	9744
1404	22971	9728
1405	22983	9709
1406	22999	9693
1407	23013	9675
1408	23027	9658
1409	23045	9643
1410	23065	9628
1411	23081	9612
1412	23098	9595
1413	23111	9578
1414	23127	9561
1415	23143	9545
1416	23160	9528
1417	23175	9511
1418	23188	9494
1419	23206	9478
1420	23222	9462
1421	23238	9445
1422	23255	9429
1423	23268	9411
1424	23282	9394
1425	23297	9377
1426	23311	9360
1427	23328	9344
1428	23347	9329
1429	23365	9313
1430	23385	9298
1431	23403	9283
1432	23419	9266
1433	23434	9249
1434	23451	9233
1435	23467	9217
1436	23480	9199
1437	23494	9182
1438	23512	9166
1439	23526	9149
1440	23542	9132
1441	23562	9117
1442	23581	9102
1443	23597	9086
1444	23615	9070
1445	23629	9052
1446	23644	9036
1447	23659	9019
1448	23676	9003
1449	23691	8986
1450	23708	8970
1451	23765	8969
1452	23805	8961
1453	23876	8966
1454	23927	8962
1455	23954	8950
1456	23976	8935
1457	23991	8918
1458	24008	8902
1459	24027	8886
1460	24043	8870
1461	24059	8853
1462	24074	8836
1463	24090	8820
1464	24108	8804
1465	24123	8787
1466	24139	8770
1467	24157	8754
1468	24172	8737
1469	24186	8720
1470	24203	8703
1471	24218	8686
1472	24232	8669
1473	24248	8653
1474	24262	8635
1475	24276	8618
1476	24291	8601
1477	24306	8584
1478	24320	8567
1479	24342	8552
1480	24357	8535
1481	24369	8517
1482	24382	8500
1483	24396	8482
1484	24412	8466
1485	24429	8450
1486	24448	8434
1487	24466	8418
1488	24484	8402
1489	24499	8385
1490	24515	8369
1491	24531	8352
1492	24547	8336
1493	24560	8318
1494	24578	8302
1495	24595	8286
1496	24610	8269
1497	24625	8252
1498	24642	8235
1499	24656	8218
1500	24677	8204
1501	24694	8187
1502	24710	8171
1503	24725	8154
1504	24741	8137
1505	24756	8120
1506	24771	8103
1507	24787	8087
1508	24805	8071
1509	24821	8054
1510	24838	8038
1511	24854	8021
1512	24872	8005
1513	24887	7988
1514	24904	7972
1515	24920	7956
1516	24937	7939
1517	24954	7923
1518	24969	7906
1519	24983	7889
1520	25001	7873
1521	25019	7857
1522	25037	7841
1523	25050	7824
1524	25066	7807
1525	25084	7791
1526	25100	7775
1527	25116	7758
1528	25131	7741
1529	25147	7725
1530	25166	7709
1531	25179	7691
1532	25196	7675
1533	25213	7659
1534	25231	7643
1535	25246	7626
1536	25259	7609
1537	25277	7593
1538	25292	7576
1539	25308	7559
1540	25323	7542
1541	25336	7525
1542	25354	7509
1543	25366	7491
1544	25382	7475
1545	25397	7458
1546	25413	7441
1547	25429	7425
1548	25443	7408
1549	25462	7392
1550	25478	7375
1551	25494	7359
1552	25510	7342
1553	25524	7325
1554	25537	7308
1555	25555	7292
1556	25569	7275
1557	25586	7258
1558	25600	7241
1559	25615	7224
1560	25631	7208
1561	25652	7193
1562	25668	7176
1563	25684	7160
1564	25704	7144
1565	25719	7128
1566	25734	7111
1567	25750	7094
1568	25765	7077
1569	25782	7061
1570	25797	7044
1571	25813	7028
1572	25828	7011
1573	25844	6994
1574	25861	6978
1575	25877	6962
1576	25893	6945
1577	25909	6929
1578	25927	6912
1579	25942	6896
1580	25956	6879
1581	26012	6873
1582	26028	6856
1583	26046	6840
1584	26068	6825
1585	26083	6808
1586	26100	6792
1587	26117	6776
1588	26131	6759
1589	26148	6742
1590	26163	6725
1591	26180	6709
1592	26196	6693
1593	26214	6676
1594	26229	6660
1595	26247	6644
1596	26263	6627
1597	26281	6611
1598	26298	6595
1599	26313	6578
1600	26329	6561
1601	26346	6545
1602	26364	6529
1603	26379	6512
1604	26398	6496
1605	26413	6480
1606	26428	6463
1607	26445	6446
1608	26462	6430
1609	26480	6414
1610	26499	6398
1611	26514	6381
1612	26530	6365
1613	26547	6349
1614	26560	6331
1615	26578	6315
1616	26593	6298
1617	26611	6282
1618	26628	6266
1619	26645	6250
1620	26661	6233
1621	26676	6216
1622	26694	6200
1623	26711	6184
1624	26724	6167
1625	26741	6150
1626	26756	6134
1627	26770	6117
1628	26787	6100
1629	26808	6085
1630	26825	6069
1631	26842	6052
1632	26860	6036
1633	26876	6020
1634	26889	6002
1635	26906	5986
1636	26924	5970
1637	26939	5953
1638	26953	5936
1639	26971	5920
1640	26989	5904
1641	27002	5887
1642	27018	5870
1643	27034	5854
1644	27053	5838
1645	27070	5821
1646	27089	5806
1647	27110	5790
1648	27128	5774
1649	27171	5763
1650	27190	5747
1651	27211	5732
1652	27238	5717
1653	27270	5704
1654	27319	5694
1655	27347	5680
1656	27375	5666
1657	27389	5649
1658	27405	5633
1659	27419	5616
1660	27438	5600
1661	27456	5583
1662	27475	5567
1663	27491	5551
1664	27509	5534
1665	27524	5518
1666	27540	5501
